dialect,standard
요즘 느끼는 건 기업별 직무와 요구역량을 비교할 수 있으면 좋겄네 다만 월세 부담이 너무 크다는 부분이 개선됐으면 한당께당께.,요즘 느끼는 건 기업별 직무와 요구역량을 비교할 수 있으면 좋겠다 다만 월세 부담이 너무 크다는 부분이 개선됐으면 합니다.
요즘 느끼는 건 출퇴근 시간대 배차를 늘려줬으면 좋겄네당께.,요즘 느끼는 건 출퇴근 시간대 배차를 늘려줬으면 좋겠다.
실제로 이용해보니 내 수준과 목표에 맞는 교육과정을 추천받고 싶다 다만 청년주택 정보를 찾기 어렵당께는 점이 가장 불편한당께당께.,실제로 이용해보니 내 수준과 목표에 맞는 교육과정을 추천받고 싶다 다만 청년주택 정보를 찾기 어렵다는 점이 가장 불편합니다.
취업을 준비하면서 여러 기관의 지원사업을 한 번에 검색하고 싶당께라고 느끼당께당께.,취업을 준비하면서 여러 기관의 지원사업을 한 번에 검색하고 싶다라고 느낍니다.
지역에서 생활하면서 비전공자 입장에서 무료 교육은 신청기간을 놓치기 쉽다는 의견입니다당께.,지역에서 생활하면서 비전공자 입장에서 무료 교육은 신청기간을 놓치기 쉽다는 의견입니다.
요즘 느끼는 건 예비창업자 입장에서 지원사업 마감일을 자주 놓친다 그리고 채용공고가 여러 사이트에 흩어져 있당께는 부분이 개선됐으면 한당께당께.,요즘 느끼는 건 예비창업자 입장에서 지원사업 마감일을 자주 놓친다 그리고 채용공고가 여러 사이트에 흩어져 있다는 부분이 개선됐으면 합니다.
광주·전남에서 지내다 보니 현직자 강의는 직무 이해에 도움이 됐다당께.,광주·전남에서 지내다 보니 현직자 강의는 직무 이해에 도움이 됐다.
주변에서도 많이 말하는데 직장인 입장에서 생활체육 프로그램 정보가 부족한당께당께.,주변에서도 많이 말하는데 직장인 입장에서 생활체육 프로그램 정보가 부족하다.
주변에서도 많이 말하는데 위치와 시간에 맞춰 여가 활동을 추천해주면 좋겄네는 의견입니다당께.,주변에서도 많이 말하는데 위치와 시간에 맞춰 여가 활동을 추천해주면 좋겠다는 의견입니다.
취업을 준비하면서 자취하는 청년 입장에서 청년주택 정보를 찾기 어렵당께라고 느끼당께당께.,취업을 준비하면서 자취하는 청년 입장에서 청년주택 정보를 찾기 어렵다라고 느낍니다.
지역에서 생활하면서 창업지원 프로그램을 통해 초기 비용 부담을 줄일 수 있었다면 좋겠당께,지역에서 생활하면서 창업지원 프로그램을 통해 초기 비용 부담을 줄일 수 있었다면 좋겠습니다.
지역 청년 입장에서 공연이나 전시 정보가 여러 채널에 흩어져 있당께는 부분이 개선됐으면 한당께당께.,지역 청년 입장에서 공연이나 전시 정보가 여러 채널에 흩어져 있다는 부분이 개선됐으면 합니다.
개인적으로 지역 청년 입장에서 지역기업 채용정보를 한눈에 찾기 어렵당께면 좋겠당께,개인적으로 지역 청년 입장에서 지역기업 채용정보를 한눈에 찾기 어렵다면 좋겠습니다.
지역에서 생활하면서 1인 가구 입장에서 생활체육 프로그램 정보가 부족한당께는 부분이 개선됐으면 한당께당께.,지역에서 생활하면서 1인 가구 입장에서 생활체육 프로그램 정보가 부족하다는 부분이 개선됐으면 합니다.
요즘 느끼는 건 야간 근무자 입장에서 야간 대중교통이 부족한당께는 의견입니다당께.,요즘 느끼는 건 야간 근무자 입장에서 야간 대중교통이 부족하다는 의견입니다.
지역에서 생활하면서 대학생 입장에서 생활체육 프로그램 정보가 부족한당께 또 교육과 실제 채용 요구역량이 잘 맞지 않는다는 부분이 개선됐으면 한당께당께.,지역에서 생활하면서 대학생 입장에서 생활체육 프로그램 정보가 부족하다 또 교육과 실제 채용 요구역량이 잘 맞지 않는다는 부분이 개선됐으면 합니다.
실제로 이용해보니 취업준비생 입장에서 AI 교육은 많지만 수준을 판단하기 어렵당께고 생각한당께당께.,실제로 이용해보니 취업준비생 입장에서 AI 교육은 많지만 수준을 판단하기 어렵다고 생각합니다.
실시간 교통 데이터를 활용해 경로를 추천해주면 좋겄네는 점이 가장 불편한당께당께.,실시간 교통 데이터를 활용해 경로를 추천해주면 좋겠다는 점이 가장 불편합니다.
광주·전남에서 지내다 보니 사업계획서를 점검해주는 서비스가 있으면 좋겄네는 의견입니다당께.,광주·전남에서 지내다 보니 사업계획서를 점검해주는 서비스가 있으면 좋겠다는 의견입니다.
지역에서 생활하면서 재직 청년 입장에서 AI 교육은 많지만 수준을 판단하기 어렵당께 그리고 막차 시간이 빨라 늦게까지 활동하기 어렵당께는 부분이 개선됐으면 한당께당께.,지역에서 생활하면서 재직 청년 입장에서 AI 교육은 많지만 수준을 판단하기 어렵다 그리고 막차 시간이 빨라 늦게까지 활동하기 어렵다는 부분이 개선됐으면 합니다.
대학생 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족한당께는 점이 가장 불편한당께당께.,대학생 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족하다는 점이 가장 불편합니다.
요즘 느끼는 건 사업계획서를 점검해주는 서비스가 있으면 좋겄네는 의견입니다당께.,요즘 느끼는 건 사업계획서를 점검해주는 서비스가 있으면 좋겠다는 의견입니다.
개인적으로 지역 청년 입장에서 괜찮은 일자리가 어디에 있는지 모르겠다 그리고 청년 할인 혜택을 한눈에 알기 어렵당께면 좋겠당께,개인적으로 지역 청년 입장에서 괜찮은 일자리가 어디에 있는지 모르겠다 그리고 청년 할인 혜택을 한눈에 알기 어렵다면 좋겠습니다.
대학생 입장에서 교육 이후 포트폴리오로 연결하기 어렵당께당께.,대학생 입장에서 교육 이후 포트폴리오로 연결하기 어렵다.
요즘 느끼는 건 취업준비생 입장에서 인턴이나 현장실습 기회를 찾기 어렵당께고 생각한당께당께.,요즘 느끼는 건 취업준비생 입장에서 인턴이나 현장실습 기회를 찾기 어렵다고 생각합니다.
주변에서도 많이 말하는데 경력 초기 청년 입장에서 지역기업의 연봉이나 복지 정보를 비교하기 어렵당께고 생각한당께당께.,주변에서도 많이 말하는데 경력 초기 청년 입장에서 지역기업의 연봉이나 복지 정보를 비교하기 어렵다고 생각합니다.
개인적으로 비전공자 입장에서 교육 이후 포트폴리오로 연결하기 어렵당께면 좋겠당께,개인적으로 비전공자 입장에서 교육 이후 포트폴리오로 연결하기 어렵다면 좋겠습니다.
지역에서 생활하면서 직무전환을 준비하는 사람 입장에서 AI 교육은 많지만 수준을 판단하기 어렵당께당께.,지역에서 생활하면서 직무전환을 준비하는 사람 입장에서 AI 교육은 많지만 수준을 판단하기 어렵다.
개인적으로 자취하는 청년 입장에서 청년주택 신청 시 필요한 서류가 많다고 생각한당께당께.,개인적으로 자취하는 청년 입장에서 청년주택 신청 시 필요한 서류가 많다고 생각합니다.
대학생 입장에서 행사 신청 방법이 제각각이라 불편하다는 부분이 개선됐으면 한당께당께.,대학생 입장에서 행사 신청 방법이 제각각이라 불편하다는 부분이 개선됐으면 합니다.
취업을 준비하면서 지역대학 학생 입장에서 기업이 원하는 역량을 구체적으로 알기 어렵당께는 부분이 개선됐으면 한당께당께.,취업을 준비하면서 지역대학 학생 입장에서 기업이 원하는 역량을 구체적으로 알기 어렵다는 부분이 개선됐으면 합니다.
취업을 준비하면서 예비창업자 입장에서 창업지원사업이 너무 많아 어떤 것을 신청해야 할지 모르겠다는 부분이 개선됐으면 한당께당께.,취업을 준비하면서 예비창업자 입장에서 창업지원사업이 너무 많아 어떤 것을 신청해야 할지 모르겠다는 부분이 개선됐으면 합니다.
주변에서도 많이 말하는데 공유오피스 지원이 초기 창업자에게 유용했다당께.,주변에서도 많이 말하는데 공유오피스 지원이 초기 창업자에게 유용했다.
취업을 준비하면서 온라인 신청이 가능해져 예전보다 행정 절차가 편해졌다 특히 야간 대중교통이 부족한당께는 점이 가장 불편한당께당께.,취업을 준비하면서 온라인 신청이 가능해져 예전보다 행정 절차가 편해졌다 특히 야간 대중교통이 부족하다는 점이 가장 불편합니다.
요즘 느끼는 건 공공자전거를 함께 이용하니 가까운 거리는 이동이 편리하다는 점이 가장 불편한당께당께.,요즘 느끼는 건 공공자전거를 함께 이용하니 가까운 거리는 이동이 편리하다는 점이 가장 불편합니다.
요즘 느끼는 건 야간 이동 수요를 반영한 교통서비스가 필요하다는 점이 가장 불편한당께당께.,요즘 느끼는 건 야간 이동 수요를 반영한 교통서비스가 필요하다는 점이 가장 불편합니다.
중소기업 재직자 입장에서 홈페이지마다 검색 방식이 달라 불편하다는 의견입니다당께.,중소기업 재직자 입장에서 홈페이지마다 검색 방식이 달라 불편하다는 의견입니다.
지역 청년 입장에서 비슷한 정책이 많아 차이를 비교하기 어렵당께당께.,지역 청년 입장에서 비슷한 정책이 많아 차이를 비교하기 어렵다.
실제로 이용해보니 야간 이동 수요를 반영한 교통서비스가 필요하다는 점이 가장 불편한당께당께.,실제로 이용해보니 야간 이동 수요를 반영한 교통서비스가 필요하다는 점이 가장 불편합니다.
취업을 준비하면서 취업준비생 입장에서 교육과 실제 채용 요구역량이 잘 맞지 않는다고 생각한당께당께.,취업을 준비하면서 취업준비생 입장에서 교육과 실제 채용 요구역량이 잘 맞지 않는다고 생각합니다.
요즘 느끼는 건 주거비 지원을 받아 지역에 계속 머무를 수 있게 됐다는 의견입니다당께.,요즘 느끼는 건 주거비 지원을 받아 지역에 계속 머무를 수 있게 됐다는 의견입니다.
요즘 느끼는 건 타지역에서 이주한 청년 입장에서 월세 부담이 너무 크다면 좋겠당께,요즘 느끼는 건 타지역에서 이주한 청년 입장에서 월세 부담이 너무 크다면 좋겠습니다.
광주·전남에서 지내다 보니 야간 근무자 입장에서 야간 대중교통이 부족한당께당께.,광주·전남에서 지내다 보니 야간 근무자 입장에서 야간 대중교통이 부족하다.
광주·전남에서 지내다 보니 신혼 청년 입장에서 전세나 월세 시세를 비교하기 어렵당께면 좋겠당께,광주·전남에서 지내다 보니 신혼 청년 입장에서 전세나 월세 시세를 비교하기 어렵다면 좋겠습니다.
광주·전남에서 지내다 보니 지역 청년 입장에서 필요한 서류를 사전에 확인하기 어렵당께라고 느끼당께당께.,광주·전남에서 지내다 보니 지역 청년 입장에서 필요한 서류를 사전에 확인하기 어렵다라고 느낍니다.
주변에서도 많이 말하는데 대학생 입장에서 교육 이후 포트폴리오로 연결하기 어렵당께라고 느끼당께당께.,주변에서도 많이 말하는데 대학생 입장에서 교육 이후 포트폴리오로 연결하기 어렵다라고 느낍니다.
주변에서도 많이 말하는데 지역 청년 입장에서 청년 할인 혜택을 한눈에 알기 어렵당께는 부분이 개선됐으면 한당께당께.,주변에서도 많이 말하는데 지역 청년 입장에서 청년 할인 혜택을 한눈에 알기 어렵다는 부분이 개선됐으면 합니다.
개인적으로 1인 가구 입장에서 혼자 참여하기 좋은 프로그램을 찾기 어렵당께면 좋겠당께,개인적으로 1인 가구 입장에서 혼자 참여하기 좋은 프로그램을 찾기 어렵다면 좋겠습니다.
실제로 이용해보니 지역별 주거비와 교통 접근성을 함께 비교하고 싶당께면 좋겠당께,실제로 이용해보니 지역별 주거비와 교통 접근성을 함께 비교하고 싶다면 좋겠습니다.
실제로 이용해보니 취업준비생 입장에서 내가 어떤 지원을 받을 수 있는지 판단하기 어렵당께당께.,실제로 이용해보니 취업준비생 입장에서 내가 어떤 지원을 받을 수 있는지 판단하기 어렵다.
실제로 이용해보니 직장 위치를 기준으로 살기 좋은 지역을 추천해주면 좋겄네 그리고 주말에는 버스가 너무 뜸하다라고 느끼당께당께.,실제로 이용해보니 직장 위치를 기준으로 살기 좋은 지역을 추천해주면 좋겠다 그리고 주말에는 버스가 너무 뜸하다라고 느낍니다.
광역 교통정보를 한 앱에서 보고 싶다는 의견입니다당께.,광역 교통정보를 한 앱에서 보고 싶다는 의견입니다.
지역에서 생활하면서 지역기업 채용설명회가 실제 취업 준비에 도움이 됐다고 생각한당께당께.,지역에서 생활하면서 지역기업 채용설명회가 실제 취업 준비에 도움이 됐다고 생각합니다.
요즘 느끼는 건 직무전환을 준비하는 사람 입장에서 직장인에게 맞는 야간 교육이 부족한당께라고 느끼당께당께.,요즘 느끼는 건 직무전환을 준비하는 사람 입장에서 직장인에게 맞는 야간 교육이 부족하다라고 느낍니다.
지역에서 생활하면서 프리랜서 입장에서 지원사업 마감일을 자주 놓친다고 생각한당께당께.,지역에서 생활하면서 프리랜서 입장에서 지원사업 마감일을 자주 놓친다고 생각합니다.
개인적으로 졸업예정자 입장에서 괜찮은 일자리가 어디에 있는지 모르겠다라고 느끼당께당께.,개인적으로 졸업예정자 입장에서 괜찮은 일자리가 어디에 있는지 모르겠다라고 느낍니다.
취업을 준비하면서 비전공자 입장에서 어떤 기술부터 배워야 할지 모르겠다는 부분이 개선됐으면 한당께당께.,취업을 준비하면서 비전공자 입장에서 어떤 기술부터 배워야 할지 모르겠다는 부분이 개선됐으면 합니다.
